ID,Requirement,Specification
REQ_CLS_PARAMETERID_05,A slave can discard requests to other groups as long as the parameterID not has changed,BAP-C2010ENG-004 10.3.1.10.2.5.07
REQ_CLS_SEQUENCE_01,Slave puts the frame sequence number in the response,"BAP-C2010ENG-004 10.3.1.10.2.5.04, BAP-C2010ENG-004 10.3.2.8.2.5.4"
REQ_CLS_SLMP_IP_01,Slave should set IP address when receiving command,BAP-C3003ENG-001 3.1.5
REQ_CLS_STATIONNUMBER_01,Slave calculates number of occupied stations from the number of subsequent 255.255.255.255 in the slaveID field,BAP-C2010ENG-004 10.3.1.10.2.5.11
REQ_CLS_STATIONNUMBER_02,Slave calculates stationnumber from position of its slaveID,BAP-C2010ENG-004 10.3.1.10.2.5.11
REQ_CLS_STATIONNUMBER_03,"When occupying multiple stations, the slave station number is the decided by the first",BAP-C2010ENG-004 10.3.1.10.2.5.11
REQ_CLS_STATUSBIT_01,Slave sends cyclic response data set to 0 when corresponding bit is off,"BAP-C2010ENG-001 5.3.1 c) 18), BAP-C2010ENG-004 10.3.1.10.2.5.09"
REQ_CLS_STATUSBIT_02,Slave handles request cyclic data as invalid when corresponding bit is off (0 data is stored),"BAP-C2010ENG-001 5.3.1 c) 18), BAP-C2010ENG-004 10.3.1.10.2.5.09, BAP-C2010ENG-004 10.3.1.10.2.5.12, , BAP-C2010ENG-004 10.3.1.10.2.5.13"
REQ_CLS_STATUSBIT_03,Slave handles request cyclic data as valid when corresponding bit is on,"BAP-C2010ENG-004 08.3 a), BAP-C2010ENG-004 10.3.1.10.2.5.09"
REQ_CLS_STATUSBIT_04,Slave should not respond to the request if the cyclic status bit is set when the master is undetermined (slave duplication),BAP-C2010ENG-004 08.3 b) 10)
REQ_CLS_STATUSBIT_05,Slave sends valid cyclic response data when corresponding bit is on,BAP-C2010ENG-004 10.3.1.10.2.5.09
REQ_CLS_TIMING_01,A slave considers itself disconnected when it not has received requests for timeout period x number of consecutive timeouts.,"BAP-C2010ENG-004 08.3 b) 08), BAP-C2010ENG-004 10.3.1.10.2.5.05"
REQ_CLS_UDP_01,Slave sends cyclic data via UDP unicast,BAP-C2010ENG-004 08.3 a) 04)
REQ_CLS_UDP_02,Use UDP destination port 45237 for SLMP node search ??,BAP-C3003ENG-001 5.2.3
REQ_CLS_UDP_03,It should be possible to select local broadcast or directed broadcast for sending SLMP messages,PROJECT
REQ_CLS_USER_01,Slave should operate safely when master is stopped,BAP-C3003ENG-001 5.4.3
REQ_CLS_VERSION_01,Slave handle request message in lowest protocol version of its own and the request,BAP-C2010ENG-001 5.3.1 a) 3)
REQ_CLS_VERSION_02,Slave sends response in its own protocol version,BAP-C2010ENG-001 5.3.1 a) 3)
REQ_CLS_VERSION_03,"When masterLocalUnit info is stopped by user in protocol version 2, the slave stops or continues its operation according to setting of its own",BAP-C3003ENG-001 3.2.1
REQ_CLS_VERSION_04,"When masterLocalUnit info is stopped due to error in protocol version 2, the slave stops its operation",BAP-C3003ENG-001 3.2.1
REQ_CLS_VERSION_05,"When masterLocalUnit info is stopped in protocol version 1, the slave holds or clear output according to setting of its own",BAP-C3003ENG-001 3.2.1
